id,parentId,size
source,,
namedStore,source,
farmer,source,
farm_market,source,
farm,source,
unnamed,source,
cherry_tomato,namedStore,33.8199802371541
grape,namedStore,183.517946428571
lettuce,namedStore,33.8199802371541
spinach,namedStore,183.517946428571
kale,namedStore,342.636371681416
carrot,namedStore,33.8199802371541
other,namedStore,33.8199802371541
cherry_tomato,farmer,33.8199802371541
grape,farmer,296.789333333333
lettuce,farmer,33.8199802371541
spinach,farmer,296.789333333333
kale,farmer,245.388301886793
carrot,farmer,33.8199802371541
other,farmer,33.8199802371541
cherry_tomato,farm_market,33.8199802371541
grape,farm_market,183.517946428571
lettuce,farm_market,33.8199802371541
spinach,farm_market,183.517946428571
kale,farm_market,342.636371681416
carrot,farm_market,33.8199802371541
other,farm_market,33.8199802371541
cherry_tomato,farm,33.8199802371541
grape,farm,296.789333333333
lettuce,farm,33.8199802371541
spinach,farm,296.789333333333
kale,farm,342.636371681416
carrot,farm,33.8199802371541
other,farm,33.8199802371541
cherry_tomato,unnamed,33.8199802371541
grape,unnamed,183.517946428571
lettuce,unnamed,33.8199802371541
spinach,unnamed,183.517946428571
kale,unnamed,245.388301886793
carrot,unnamed,33.8199802371541
other,unnamed,33.8199802371541
