climateRegion,crop,farmType,bioregion,expected
coldButComfy,spinach,hydro,justWildKale,65
coldButComfy,spinach,regen,racoonsAndStuff,33
coldButComfy,carrot,hydro,racoonsAndStuff,34
coldButComfy,carrot,regen,mostlyPandas,70
stickyHot,grape,hydro,justWildKale,71
stickyHot,grape,notill,mostlyPandas,23
stickyHot,grape,organic,mostlyPandas,43
coldButComfy,grape,organic,mostlyPandas,69
justPerfectButWithBees,grape,notill,justWildKale,11
justPerfectButWithBees,spinach,regen,justWildKale,40
coldButComfy,grape,regen,mostlyPandas,41
coldButComfy,carrot,organic,racoonsAndStuff,36
stickyHot,grape,notill,racoonsAndStuff,19
stickyHot,spinach,hydro,justWildKale,66
stickyHot,grape,hydro,racoonsAndStuff,37
justPerfectButWithBees,grape,organic,justWildKale,63
justPerfectButWithBees,grape,hydro,justWildKale,46
coldButComfy,carrot,regen,racoonsAndStuff,68
coldButComfy,carrot,regen,mostlyPandas,58
justPerfectButWithBees,carrot,hydro,mostlyPandas,62
coldButComfy,spinach,regen,racoonsAndStuff,14
justPerfectButWithBees,carrot,regen,mostlyPandas,44
coldButComfy,grape,regen,racoonsAndStuff,75
coldButComfy,carrot,organic,justWildKale,61
stickyHot,carrot,notill,racoonsAndStuff,67
justPerfectButWithBees,carrot,regen,racoonsAndStuff,42
stickyHot,spinach,organic,racoonsAndStuff,64
coldButComfy,spinach,hydro,racoonsAndStuff,59
stickyHot,carrot,hydro,racoonsAndStuff,35
stickyHot,carrot,regen,justWildKale,76
justPerfectButWithBees,grape,notill,racoonsAndStuff,77
justPerfectButWithBees,carrot,organic,justWildKale,26
stickyHot,grape,regen,racoonsAndStuff,73
stickyHot,grape,regen,racoonsAndStuff,39
stickyHot,grape,organic,justWildKale,45
stickyHot,carrot,regen,racoonsAndStuff,29
coldButComfy,grape,regen,racoonsAndStuff,20
coldButComfy,carrot,notill,mostlyPandas,49
stickyHot,grape,hydro,mostlyPandas,18
stickyHot,spinach,organic,racoonsAndStuff,74
